Ma_BDS,Dia_chi,Tong_gia (trieu),Tien_m2 (trieu/m2),Loại hình,Chiều ngang,Chiều dài,Hướng cửa chính,Số phòng ngủ,Số phòng tắm,Số tầng,Diện tích đất công nhận,Diện tích sử dụng,Đường trước nhà,Nội thất,Giấy tờ pháp lý
YBBPHD,"44/6 Hiệp Thành 43, P.Hiệp Thành, Q.12, TP.HCM",11000000.0,58.1,Nhà hẻm,8.07m,23.87m,Đông Nam,2.0,2.0,2.0,189.30m²,221.50m²,10.71m,,
0ZN4P9,"704/13/1B Hương Lộ 2, P.Bình Hưng Hoà A, Q.Bình Tân, TP.HCM",6950000.0,119.0,Nhà hẻm,4.5m,13m,Bắc,4.0,4.0,4.0,58.40m²,179.50m²,6.32m,,
SDDWS5,"591/10 Bình Thới, P.10, Q.11, TP.HCM",5680000.0,227.2,Nhà hẻm,3.3m,11m,Đông,4.0,3.0,3.0,25m²,70.50m²,3m,,
37S4CQ,"129/14D Nguyễn Trãi, P.2, Q.5, TP.HCM",5690000.0,204.67,Nhà hẻm,2.93m,10.6m,Tây Bắc,3.0,4.0,4.0,27.80m²,,2.5m,,
WPPENR,"38 Lô 17 Hưng Phú, P.Hưng Phú, Q.8, TP.HCM",7680000.0,125.49,Nhà hẻm,3.11m,20.03m,Đông Bắc,9.0,4.0,4.0,61.20m²,157.70m²,4m,,Sổ riêng
5H4FH7,"109/F1/17 Bến Vân Đồn, P.4, Q.4, TP.HCM",35000000.0,309.46,Nhà hẻm,7.66m,15.43m,Đông Bắc,1.0,1.0,2.0,113.10m²,187.50m²,4m,,
0ZXT69,"MPN 22 Thạnh Lộc 57, P.Thạnh Lộc, Q.12, TP.HCM",3700000.0,57.27,Nhà hẻm,4m,16.22m,Tây Bắc,1.0,1.0,1.0,64.60m²,32m²,8m,,
KFWZ0C,"14B/15 Hưng Phú, P.Hưng Phú, Q.8, TP.HCM",3280000.0,131.2,Nhà hẻm,3.53m,6.91m,Tây Nam,2.0,1.0,2.0,25m²,31m²,2m,,Sổ riêng
SYSMP5,"1247/104E Huỳnh Tấn Phát, P.Phú Thuận, Q.7, TP.HCM",3950000.0,0.1,Nhà hẻm,5.14m,8.3m,Đông,3.0,3.0,3.0,37.30m²,,2m,,
W9BB3R,"Nguyễn Hiền, P.4, Q.3, TP.HCM",11500000.0,226.37,Nhà hẻm,5.03m,10.85m,Đông Bắc,6.0,4.0,4.0,50.80m²,148.90m²,3m,,
RG25SJ,"198/20 Võ Văn Tần, P.5, Q.3, TP.HCM",4950000.0,221.97,Nhà hẻm,3.24m,8.03m,Tây Nam,2.0,3.0,4.0,22.30m²,44.60m²,2.5m,,
AC9DUY,"656/74/137 Quang Trung, P.11, Q.Gò Vấp, TP.HCM",5980000.0,125.36,Nhà hẻm,3.55m,13.73m,Nam,4.0,2.0,2.0,47.70m²,77.40m²,3.74m,,
5HAVV7,"127/54 Cô Giang, P.2, Q.Phú Nhuận, TP.HCM",4000000.0,408.16,Nhà hẻm,2.26m,6.2m,Tây,2.0,3.0,4.0,9.80m²,19.30m²,4.1m,,
ABD15Y,"57/18A Trần Thị Hè, P.Hiệp Thành, Q.12, TP.HCM",2089999.9999999998,92.47,Nhà hẻm,3.68m,6.01m,Bắc,2.0,2.0,2.0,22.60m²,28.70m²,1.5m,,
GXWC82,"Tân Hòa Đông, P.14, Q.6, TP.HCM",5980000.0,228.24,Nhà hẻm,3.88m,7.94m,Bắc,5.0,4.0,5.0,26.20m²,116.90m²,3.55m,,
5H0NE7,"956/6/10 Âu Cơ, P.14, Q.Tân Bình, TP.HCM",7350000.0,100.54,Nhà hẻm,4.05m,18.05m,Bắc,2.0,2.0,2.0,73.10m²,139.90m²,,,
WPXHWR,"Nguyễn Kiệm, P.9, Q.Phú Nhuận, TP.HCM",32000000.0,310.98,Nhà hẻm,5.2m,19.95m,Tây Nam,8.0,8.0,4.0,102.90m²,,5m,,Sổ riêng
KF0SMC,"920/24 Nguyễn Kiệm, P.3, Q.Gò Vấp, TP.HCM",11000000.0,132.05,Nhà hẻm,5m,17.34m,Tây,3.0,3.0,3.0,83.30m²,173.10m²,3.6m,,
6SAJE8,"80/13 Nguyễn Văn Trỗi, P.8, Q.Phú Nhuận, TP.HCM",4050000.0,208.76,Nhà hẻm,2.57m,6.63m,Bắc,4.0,3.0,3.0,19.40m²,38.80m²,,,
QADSYU,"378/29/22 An Dương Vương, P.4, Q.5, TP.HCM",5680000.0,230.89,Nhà hẻm,3m,9.2m,Tây Nam,4.0,3.0,3.0,24.60m²,,2.5m,,
J2GQH0,"309/4 Nguyễn Oanh, P.17, Q.Gò Vấp, TP.HCM",4150000.0000000005,166.0,Nhà hẻm,2.95m,8.77m,Tây,2.0,2.0,2.0,25m²,,3m,,
UAU8CS,"195/22/11 Quộc Lộ 1A, P.An Phú Đông, Q.12, TP.HCM",4400000.0,47.93,Nhà hẻm,4.72m,18.01m,Tây,1.0,1.0,1.0,91.80m²,87.60m²,2m,,
5DSTX7,"35/6 Cách Mạng, P.Phú Thọ Hòa, Q.Tân Phú, TP.HCM",3450000.0,1.15,Nhà hẻm,4.78m,5.73m,Tây Nam,1.0,1.0,1.0,3m²,,1.25m,,
5DHU67,"21/30 Vạn Kiếp, P.1, Q.Bình Thạnh, TP.HCM",5800000.0,287.12,Nhà hẻm,4.9m,4.1m,Bắc,2.0,3.0,3.0,20.20m²,,2.5m,,
3576TQ,"41/10B Lương Văn Can, P.15, Q.8, TP.HCM",3880000.0,118.29,Nhà hẻm,3.8m,8m,Tây Bắc,3.0,2.0,3.0,32.80m²,29.30m²,2.5m,,
3SVEFQ,"Cộng Hoà, P.4, Q.Tân Bình, TP.HCM",16000000.0,208.98,Nhà hẻm,4.35m,19.2m,Tây,3.0,3.0,4.0,76.56m²,265.42m²,5m,,
DC5F2H,"150/43A Nguyễn Trãi, P.Bến Thành, Q.1, TP.HCM",45000000.0,750.0,Nhà hẻm,4m,17m,Tây Nam,3.0,4.0,5.0,60m²,215.80m²,7m,,
6QGWJ8,"881C Ba Đình, P.Hưng Phú, Q.8, TP.HCM",10880000.0,87.6,Nhà hẻm,3.45m,28.5m,Bắc,5.0,3.0,3.0,124.20m²,234.60m²,8m,,
EJ0H94,"306/73A Vườn Lài, P.An Phú Đông, Q.12, TP.HCM",11600000.0,107.3,Nhà hẻm,5m,20.06m,Tây Bắc,4.0,2.0,3.0,108.10m²,222m²,,Đầy đủ,
S10W5Y,"Hoàng Hoa Thám, P.7, Q.Bình Thạnh, TP.HCM",22500000.0,144.5,Nhà hẻm,7.1m,17.4m,Đông,3.0,5.0,3.0,155.70m²,343.50m²,,,
9NNH2P,"31/25/1 Lê Lai, P.3, Q.Gò Vấp, TP.HCM",3650000.0,136.7,Nhà hẻm,4.1m,8.6m,Tây Nam,2.0,2.0,2.0,26.70m²,31.50m²,,,
40N5QF,"282A/41 Nguyễn Tri Phương, P.4, Q.10, TP.HCM",4650000.0,255.49,Nhà hẻm,3.6m,5.15m,Đông Nam,2.0,3.0,3.0,18.20m²,,3.6m,,
7KWCZA,"744/15 Nguyễn Kiệm, P.4, Q.Phú Nhuận, TP.HCM",6250000.0,224.82,Nhà hẻm,3m,10.15m,Tây Nam,3.0,4.0,4.0,27.80m²,91.10m²,2.45m,,
SDEPS5,"59/27 Hồng Lạc, P.10, Q.Tân Bình, TP.HCM",16000000.0,132.66,Nhà hẻm,4m,33.05m,Tây Bắc,4.0,4.0,2.0,120.60m²,,,,
7K4W6A,"141/37/5 Thạnh Lộc 19, P.Thạnh Lộc, Q.12, TP.HCM",3100000.0,128.09,Nhà hẻm,3m,9m,Tây Bắc,2.0,2.0,2.0,24.20m²,48.40m²,3m,,
GXTRV2,"959/22 Nguyễn Kiệm, P.3, Q.Gò Vấp, TP.HCM",4099999.9999999995,120.58,Nhà hẻm,4.4m,10.33m,Nam,2.0,1.0,2.0,34m²,61m²,1.7m,,
SYSY65,"385/34/2 Quang Trung, P.10, Q.Gò Vấp, TP.HCM",6500000.0,102.84,Nhà hẻm,4m,15.8m,Tây Nam,3.0,2.0,2.0,63.20m²,,2m,,
SYR4N5,"364/26/11 Tô Ký, P.Tân Chánh Hiệp, Q.12, TP.HCM",3150000.0,100.0,Nhà hẻm,4m,8.76m,Tây Nam,2.0,2.0,2.0,31.50m²,63m²,3m,,
W9G4TR,"490/2A Lê Văn Sỹ, P.14, Q.3, TP.HCM",12000000.0,196.72,Nhà hẻm,5.95m,13.35m,Nam,4.0,5.0,4.0,61m²,171.70m²,2m,,
9ZNGQP,"142D/27 Cô Giang, P.2, Q.Phú Nhuận, TP.HCM",9800000.0,162.52,Nhà hẻm,9.25m,6.8m,Đông Nam,2.0,2.0,2.0,60.30m²,88.40m²,2.9m,,
QAYYZU,"42/27 Nguyễn Thượng Hiền, P.5, Q.3, TP.HCM",6000000.0,193.54,Nhà hẻm,3.5m,11m,Đông Nam,2.0,1.0,2.0,31m²,65.80m²,3.5m,,
ABH1SY,"Hà Huy Giáp, P.Thới An, Q.12, TP.HCM",4750000.0,84.67,Nhà hẻm,4m,14.02m,Tây Nam,2.0,2.0,2.0,56.10m²,102.20m²,4m,,
YEHTRD,"888/6 Quang Trung, P.10, Q.Gò Vấp, TP.HCM",5250000.0,165.61,Nhà hẻm,6.5m,4.75m,Tây Bắc,3.0,2.0,2.0,31.70m²,52.40m²,,,
SDV685,"302/26 Thạnh Xuân 31, P.Thạnh Xuân, Q.12, TP.HCM",3750000.0,68.55,Nhà hẻm,4m,13.76m,Nam,3.0,1.0,2.0,54.70m²,83.40m²,4m,,
85HXA3,"518/2/20 Lê Văn Sỹ, P.11, Q.Phú Nhuận, TP.HCM",6000000.0,160.42,Nhà hẻm,2.95m,12.7m,Bắc,2.0,2.0,3.0,37.40m²,96.20m²,2.07m,,
85APS3,"480/19 Lạc Long Quân, P.5, Q.11, TP.HCM",8000000.0,183.48,Nhà hẻm,4.15m,12.75m,Tây Nam,4.0,3.0,3.0,43.60m²,,,,
7KCZFA,"275/27 Quang Trung, P.10, Q.Gò Vấp, TP.HCM",2850000.0,158.24,Nhà hẻm,3.35m,5.35m,Đông Bắc,2.0,3.0,3.0,18.01m²,,2.5m,,
PNZ1KG,"1/50/16 Thanh Đa, P.27, Q.Bình Thạnh, TP.HCM",5860000.0,180.3,Nhà hẻm,3.36m,11.99m,Nam,3.0,2.0,2.0,32.50m²,65m²,1.9m,,
6U62R8,"TK6/18 Võ Văn Kiệt, P.Cầu Kho, Q.1, TP.HCM",6900000.0,252.74,Nhà hẻm,4.66m,10.88m,Tây Bắc,3.0,1.0,2.0,27.30m²,66.50m²,2m,,
9Z9XBP,"327/17/8 Quang Trung, P.10, Q.Gò Vấp, TP.HCM",2950000.0,162.98,Nhà hẻm,5.05m,3.63m,Đông Bắc,2.0,1.0,2.0,18.10m²,36.20m²,2m,,
7HWMYA,"88/23 Hiệp Thành 26, P.Hiệp Thành, Q.12, TP.HCM",4480000.0,97.6,Nhà hẻm,3.7m,13.11m,Tây Bắc,2.0,2.0,2.0,45.90m²,82.60m²,4m,,
3SCDZQ,"1264/57/58 Lê Đức Thọ, P.15, Q.Gò Vấp, TP.HCM",9000000.0,77.58,Nhà hẻm,6.03m,19.08m,Đông Nam,4.0,2.0,2.0,116m²,157.60m²,3.66m,,Sổ riêng
GXNQB2,"2A/14 Hưng Phú, P.Hưng Phú, Q.8, TP.HCM",4480000.0,127.27,Nhà hẻm,3.23m,8.72m,Tây Nam,3.0,2.0,2.0,35.20m²,57.20m²,2m,,
0T2QB9,"46/7 Thị Trần, TT.Hóc Môn, H.Hóc Môn, TP.HCM",6900000.0,95.17,Nhà hẻm,4.03m,18m,Nam,5.0,6.0,4.0,72.50m²,192m²,,,
QAX6WU,"123/13/4A Thạnh Xuân 22, P.Thạnh Xuân, Q.12, TP.HCM",4320000.0,70.47,Nhà hẻm,4m,15.32m,Đông Bắc,1.0,1.0,1.0,61.30m²,74.80m²,5m,,
5HTF67,"220/48 Âu Cơ, P.9, Q.Tân Bình, TP.HCM",15900000.0,198.75,Nhà hẻm,4m,20m,Tây Bắc,4.0,4.0,5.0,80m²,322.10m²,8m,,
DENDVH,"102/4A Thạnh Lộc 17, P.Thạnh Lộc, Q.12, TP.HCM",5850000.0,97.5,Nhà hẻm,4m,15m,Đông Bắc,3.0,4.0,3.0,60m²,134.20m²,5m,,
7KJCMA,"đường số 59, P.14, Q.Gò Vấp, TP.HCM",12000000.0,188.08,Nhà hẻm,3.9m,16.3m,Đông Bắc,9.0,10.0,5.0,63.80m²,214.20m²,4.58m,Đầy đủ,
7KFCTA,"MPN 161/19 Thạnh Lộc 15, P.An Phú Đông, Q.12, TP.HCM",5630000.0,102.36,Nhà hẻm,5.5m,10m,Đông Bắc,4.0,5.0,5.0,55m²,,5m,,Sổ riêng
UYHX3S,"37/26 Nguyễn Ngọc Lộc, P.14, Q.10, TP.HCM",4300000.0,164.12,Nhà hẻm,2.06m,12.57m,Đông Nam,2.0,1.0,2.0,26.20m²,47.20m²,,,
1UU186,"1306/27 Quang Trung, P.14, Q.Gò Vấp, TP.HCM",4690000.0,128.49,Nhà hẻm,4.05m,10.62m,Tây Nam,2.0,2.0,2.0,36.50m²,,1.9m,,
GXNAR2,"854/47/17M Thống Nhất, P.15, Q.Gò Vấp, TP.HCM",3450000.0,285.12,Nhà hẻm,7m,3.04m,Tây,2.0,2.0,2.0,12.10m²,24.20m²,,,
ACKW9Y,"49/22/13A Nguyễn Văn Đậu, P.5, Q.Bình Thạnh, TP.HCM",9000000.0,170.45,Nhà hẻm,5m,10.15m,Tây Nam,7.0,7.0,4.0,52.80m²,194m²,,,
W9M9TR,"272/15 Gò Xoài, P.Bình Hưng Hoà A, Q.Bình Tân, TP.HCM",6100000.0,95.91,Nhà hẻm,4m,15.9m,Đông Nam,3.0,2.0,2.0,63.60m²,126.40m²,5.3m,,
RPMVGJ,"506/49/20E Lạc Long Quân, P.5, Q.11, TP.HCM",2890000.0,186.45,Nhà hẻm,2.5m,5.6m,Tây Bắc,2.0,2.0,2.0,15.50m²,31m²,2m,,Sổ riêng
8SK7F3,"385/33/37 Quang Trung, P.10, Q.Gò Vấp, TP.HCM",4750000.0,76.41,Nhà hẻm,6m,11.9m,Đông Nam,3.0,3.0,2.0,62.16m²,70.11m²,2.8m,,
5DDMX7,"15/40/92 đường Số 59, P.14, Q.Gò Vấp, TP.HCM",4970000.0,112.44,Nhà hẻm,4m,11m,Nam,3.0,2.0,2.0,44.20m²,85.20m²,3.12m,,
UXW0S5,"106/37 Bình Lợi, P.13, Q.Bình Thạnh, TP.HCM",15000000.0,195.0,Nhà hẻm,4m,24.4m,Đông Nam,3.0,3.0,4.0,97.20m²,,8.5m,,
ETWJ4W,"63/105 Lê Trọng Lư, P.Tân Thuận Đông, Q.7, TP.HCM",8000000.0,133.33,Nhà hẻm,6.3m,9.55m,Tây Bắc,2.0,2.0,2.0,59.30m²,118.60m²,2.5m,Cơ bản,
8YW4G3,"118/22 Lê Trọng Tấn, P.Tây Thạnh, Q.Tân Phú, TP.HCM",6900000.0,94.65,Nhà hẻm,,,Tây,,,,,72.90m²,,,
SHDVR5,"673/1A Hà Huy Giáp, P.Thạnh Xuân, Q.12, TP.HCM",5200000.0,89.5,Nhà hẻm,4m,13.6m,Đông Bắc,2.0,1.0,2.0,58.10m²,106m²,8m,,
R29HBJ,"197/27/8/5A Thạnh Lộc 15, P.Thạnh Lộc, Q.12, TP.HCM",3200000.0,60.95,Nhà hẻm,7.5m,7.05m,Đông Bắc,2.0,1.0,1.0,52.50m²,43.30m²,4m,,
0TPWV9,"572/19/7/7 Âu Cơ, P.10, Q.Tân Bình, TP.HCM",2950000.0,136.57,Nhà hẻm,1.95m,10.05m,Bắc,2.0,3.0,3.0,21.60m²,,3m,,
QANQ8U,"4/12 Thạnh Lộc 29, P.Thạnh Lộc, Q.12, TP.HCM",6300000.0,92.64,Nhà hẻm,4m,17.02m,Tây Bắc,4.0,3.0,4.0,68m²,194.80m²,6.4m,,
2MEQ8Z,"1162/2 Quang Trung, P.8, Q.Gò Vấp, TP.HCM",8400000.0,144.82,Nhà hẻm,4m,14m,Tây Bắc,4.0,5.0,4.0,58m²,159m²,3.05m,,
AC2JCY,"Thạnh Xuân 22, P.Thạnh Xuân, Q.12, TP.HCM",6200000.0,85.51,Nhà hẻm,4.76m,15.24m,Tây Bắc,5.0,4.0,5.0,72.50m²,227.40m²,7m,,
6SYC18,"MPN 87 Thạnh Xuân 33, P.Thạnh Xuân, Q.12, TP.HCM",7600000.0,94.88,Nhà hẻm,4m,20m,Đông,5.0,5.0,5.0,80.10m²,269.44m²,,,
37H7VQ,"440/12/10 Nguyễn Kiệm, P.13, Q.Phú Nhuận, TP.HCM",5900000.0,160.32,Nhà hẻm,3m,14.25m,Đông,5.0,3.0,3.0,36.80m²,51.90m²,,,
ACE68Y,"337/1 Lưu Hữu Phước, P.15, Q.8, TP.HCM",4300000.0,97.72,Nhà hẻm,4.32m,6.75m,Tây Bắc,3.0,2.0,2.0,44m²,,,,
85ASJ3,"535/27/18 Thống Nhất, P.15, Q.Gò Vấp, TP.HCM",3880000.0,219.2,Nhà hẻm,5.2m,3.42m,Nam,2.0,3.0,2.0,17.70m²,53.10m²,1.5m,,
5HKJ47,"204/20 Nguyễn Oanh, P.17, Q.Gò Vấp, TP.HCM",25500000.0,242.62,Nhà hẻm,7.3m,14.2m,Bắc,20.0,20.0,6.0,105.10m²,441.20m²,4.62m,,Sổ riêng
6SUXJ8,"C2/3A/12 Ấp 3A, Xã Vĩnh Lộc B, H.Bình Chánh, TP.HCM",4200000.0,63.63,Nhà hẻm,4m,17m,Bắc,2.0,2.0,2.0,66m²,119.30m²,4.22m,,
5HY617,"198b/9 Dương Bá Trạc, P.Rạch Ông, Q.8, TP.HCM",5600000.0,142.13,Nhà hẻm,3.8m,10.11m,Tây,3.0,3.0,2.0,39.40m²,50.20m²,,,
RG95AJ,"90/29 Lê Hồng Phong, P.2, Q.5, TP.HCM",7300000.0,266.42,Nhà hẻm,3m,9.2m,Nam,3.0,3.0,2.0,27.40m²,54.80m²,5m,,
1Q7HY6,"đường số 5, Bình Trưng Tây, Q.2, TP.HCM",18500000.0,265.04,Nhà hẻm,5.25m,11.6m,Tây Nam,4.0,4.0,5.0,69.80m²,244.20m²,6m,Đầy đủ,
GNX5E2,"417/106 Quang Trung, P.10, Q.Gò Vấp, TP.HCM",3480000.0,132.82,Nhà hẻm,4m,6.55m,Tây Nam,3.0,2.0,3.0,26.20m²,,3m,,
JZZW20,"106C/121-123 Lạc Long Quân, P.3, Q.11, TP.HCM",25000000.0,311.72,Nhà hẻm,6.8m,12.3m,Bắc,21.0,21.0,5.0,80.20m²,386.70m²,,,
KWBFFC,"269/11/8 Nguyễn Trãi, P.Nguyễn Cư Trinh, Q.1, TP.HCM",16500000.0,293.07,Nhà hẻm,3.35m,16.7m,Đông Bắc,9.0,9.0,6.0,56.30m²,199.86m²,5.26m,Đầy đủ,
JZGFZ0,"145/60A Ấp 3, Xã Đông Thạnh, H.Hóc Môn, TP.HCM",6200000.0,45.82,Nhà hẻm,6m,24.1m,Nam,1.0,1.0,1.0,135.30m²,90.30m²,,,
40YY2F,"142/6 Cô Giang, P.2, Q.Phú Nhuận, TP.HCM",6350000.0,156.4,Nhà hẻm,3.1m,12.35m,Đông Nam,3.0,2.0,2.0,40.60m²,77.60m²,,,
UYT0XS,"MPN 514/3/33 Lê Đức Thọ, P.17, Q.Gò Vấp, TP.HCM",4950000.0,70.41,Nhà hẻm,4.27m,18.43m,Đông Nam,2.0,1.0,2.0,70.30m²,,,,
UY2NJS,"79/51/3A Thống Nhất, P.11, Q.Gò Vấp, TP.HCM",5350000.0,144.2,Nhà hẻm,4.07m,9.31m,Tây Nam,3.0,2.0,3.0,37.10m²,98m²,,,
6SHYZ8,"252/6S Phạm Văn Chiêu, P.9, Q.Gò Vấp, TP.HCM",5950000.0,166.66,Nhà hẻm,4m,9.8m,Tây,3.0,3.0,4.0,35.70m²,84.70m²,,,
402MMF,"87/19 Thạnh Xuân 33, P.Thạnh Xuân, Q.12, TP.HCM",7600000.0,102.42,Nhà hẻm,4m,18.58m,Đông,5.0,5.0,5.0,74.20m²,259.40m²,,,Sổ riêng
7KB14A,"86/2/26 Ông Ích Khiêm, P.1, Q.11, TP.HCM",4700000.0,140.71,Nhà hẻm,4.3m,8.25m,Đông Bắc,2.0,2.0,2.0,33.40m²,66.80m²,,,
377DSQ,"51/12G Nguyễn Trãi, P.2, Q.5, TP.HCM",6680000.0,351.57,Nhà hẻm,3.3m,5.82m,Đông Bắc,3.0,3.0,3.0,19m²,,2.5m,,
9T2CXP,"1041/62/10/9 Trần Xuân Soạn, P.Tân Hưng, Q.7, TP.HCM",5690000.0,121.32,Nhà hẻm,4m,12m,Tây Bắc,3.0,2.0,2.0,46.90m²,70.80m²,,,
0ZGKP9,"861/18/25B Trần Xuân Soạn, P.Tân Hưng, Q.7, TP.HCM",6700000.0,114.72,Nhà hẻm,4.5m,13.68m,Tây,3.0,3.0,2.0,58.40m²,105.40m²,2m,,
2XV34Z,"207/64A Nguyễn Văn Đậu, P.11, Q.Bình Thạnh, TP.HCM",28000000.0,202.02,Nhà hẻm,4.2m,33.15m,Tây Nam,21.0,21.0,6.0,138.60m²,571.20m²,6m,,
5DDEB7,"417/49/28A Quang Trung, P.10, Q.Gò Vấp, TP.HCM",4380000.0,144.55,Nhà hẻm,4.93m,6.3m,Tây Nam,1.0,1.0,1.0,30.30m²,30.30m²,2m,,
3N11Q3,"Nguyễn Xí, P.26, Q.Bình Thạnh, TP.HCM",10500000.0,0.0,Nhà hẻm,3.75m,17.8m,Nam,4.0,4.0,2.0,63.80m²,,8m,,
DDQ5HF,"Huỳnh Tấn Phát, P.Tân Phú, Q.7, TP.HCM",7880000.0,194.59,Nhà hẻm,4.1m,9.75m,,3.0,3.0,3.0,40.54m²,,4m,,
7CK0BA,"362/12/37 Thống Nhất, P.16, Q.Gò Vấp, TP.HCM",7290000.0,138.33,Nhà hẻm,4m,12.97m,Bắc,5.0,5.0,5.0,52.70m²,178.80m²,,,
1S3KF6,"576/34 Quang Trung, P.11, Q.Gò Vấp, TP.HCM",6550000.0,118.87,Nhà hẻm,3.67m,10.71m,Tây Nam,3.0,3.0,2.0,55.10m²,89.70m²,,,
J2YNW0,"1005/61/38 Nguyễn Kiệm, P.3, Q.Gò Vấp, TP.HCM",3200000.0,164.1,Nhà hẻm,3.3m,7.76m,Đông Bắc,2.0,2.0,2.0,19.50m²,38.70m²,2m,,
850M13,"147/95 Thạnh Lộc 37, P.Thạnh Lộc, Q.12, TP.HCM",5500000.0,146.27,Nhà hẻm,3.98m,9.53m,Đông Nam,3.0,3.0,3.0,37.60m²,131.60m²,5.4m,,
7KJU0A,"212/158/238 Nguyễn Văn Nguyễn, P.Tân Định, Q.1, TP.HCM",3450000.0,273.8,Nhà hẻm,2.48m,5.232m,Tây Nam,1.0,2.0,2.0,12.60m²,,,,
J262G0,"43/31 Tú Mỡ, P.7, Q.Gò Vấp, TP.HCM",8780000.0,156.5,Nhà hẻm,3.75m,13m,Đông Bắc,3.0,4.0,4.0,56.10m²,141.10m²,4m,Đầy đủ,
7KR6WA,"91/11 Thạnh Xuân 43, P.Thạnh Xuân, Q.12, TP.HCM",4580000.0,113.08,Nhà hẻm,4.5m,9.17m,Tây Bắc,3.0,3.0,3.0,40.50m²,118.40m²,,,
0Z6189,"160/34/26 Phan Huy Ích, P.12, Q.Gò Vấp, TP.HCM",5980000.0,191.05,Nhà hẻm,3.02m,10.04m,Đông Bắc,4.0,3.0,5.0,31.30m²,112.70m²,,,
YBF5GD,"70/33 Thạnh Xuân 38, P.Thạnh Xuân, Q.12, TP.HCM",4880000.0,63.62,Nhà hẻm,4.9m,17.17m,Đông Nam,2.0,3.0,2.0,76.70m²,96.60m²,5m,,
SDKYT5,"72/36/7 Nguyễn Ảnh Thủ, P.Hiệp Thành, Q.12, TP.HCM",3550000.0,100.85,Nhà hẻm,3.1m,11.35m,Bắc,2.0,2.0,2.0,35.20m²,70.10m²,2.5m,,
UYDFGS,"330/32 Chiến Lược, P.Bình Trị Đông A, Q.Bình Tân, TP.HCM",4250000.0,118.71,Nhà hẻm,3.95m,9.06m,Tây Bắc,2.0,2.0,2.0,35.80m²,67.80m²,2.96m,,
EJJWM4,"33/20/6 Phan Văn Hớn, P.Tân Thới Nhất, Q.12, TP.HCM",3900000.0,104.27,Nhà hẻm,3.4m,11m,Đông Nam,2.0,2.0,2.0,37.40m²,74.80m²,,,
UYY5BS,"176/5 Thạnh Lộc 19, P.Thạnh Lộc, Q.12, TP.HCM",4750000.0,100.42,Nhà hẻm,4.04m,11.79m,Tây Nam,3.0,2.0,2.0,47.30m²,84.60m²,3m,,
ACKWGY,"8/34/1A Thạnh Xuân 38, P.Thạnh Xuân, Q.12, TP.HCM",5350000.0,95.02,Nhà hẻm,4.5m,12.69m,Đông Nam,4.0,4.0,4.0,56.30m²,183.10m²,5.54m,,
YBCF5D,"9/70/26 Thạnh Xuân 24, P.Thới An, Q.12, TP.HCM",6900000.0,67.84,Nhà hẻm,4.01m,24.91m,Tây Bắc,4.0,5.0,4.0,101.70m²,166.40m²,,,
85UVF3,"180/12 Thạnh Xuân 22, P.Thới An, Q.12, TP.HCM",7350000.0,86.26,Nhà hẻm,4m,19.61m,Tây Bắc,4.0,5.0,4.0,85.20m²,193.81m²,,,
SYGFG5,"728/5/1 Trần Hưng Đạo, P.2, Q.5, TP.HCM",4450000.0,266.46,Nhà hẻm,1.2m,8.5m,Đông,2.0,2.0,3.0,16.70m²,50m²,,,
35A0DQ,"1122/24C Quang Trung, P.8, Q.Gò Vấp, TP.HCM",14800000.0,164.81,Nhà hẻm,3.77m,15.94m,Tây Nam,4.0,4.0,6.0,89.80m²,337.90m²,4m,,
13QDH6,"Đặng Lộ, P.07, Q.Tân Bình, TP.HCM",6350000.0,146.65,Nhà hẻm,5.11m,9.73m,Đông Nam,2.0,2.0,2.0,43.30m²,,1.6m,,
SC0FX5,"24C Tam Châu, P.Tam Bình, TP.Thủ Đức, TP.HCM",10230000.0,46.71,Nhà hẻm,,,Tây Bắc,,,,,219m²,,,Sổ riêng
PN3K4G,"44/24/2A Tăng Nhơn Phú, Phước Long B, Q.9, TP.HCM",7000000.0,71.72,Nhà hẻm,5m,20m,Đông Nam,3.0,2.0,2.0,97.60m²,113.40m²,,,
3ADXWQ,"312/1/14 Quang Trung, P.6, Q.Gò Vấp, TP.HCM",8790000.0,198.41,Nhà hẻm,6.75m,9.32m,Tây Bắc,3.0,3.0,5.0,44.30m²,,,,
UDY9VS,"467/25 Lê Văn Khương, P.Tân Thới Hiệp, Q.12, TP.HCM",11500000.0,141.1,Nhà hẻm,4.04m,19.44m,Tây Bắc,4.0,4.0,5.0,81.50m²,98.10m²,,,
RGQ7NJ,"149/2/6 Nguyễn Văn Công, P.3, Q.Gò Vấp, TP.HCM",5950000.0,211.74,Nhà hẻm,3m,9.68m,Đông Bắc,3.0,3.0,3.0,28.10m²,64.70m²,3.5m,,
85BAF3,"318/56/9 Thống Nhất, P.16, Q.Gò Vấp, TP.HCM",4650000.0,143.07,Nhà hẻm,3.25m,10.26m,Nam,3.0,2.0,3.0,32.50m²,83.40m²,3.37m,,
ACJ1MY,"139/10/2 đường số 14, Phước Bình, Q.9, TP.HCM",7100000.0,95.3,Nhà hẻm,4m,18.86m,Nam,3.0,2.0,2.0,74.50m²,128.90m²,,,
85KNU3,"56/53 Tô Hiến Thành, P.15, Q.10, TP.HCM",5600000.0,109.37,Nhà hẻm,2.9m,17.7m,Tây Nam,2.0,1.0,2.0,51.20m²,72.50m²,,,
