Ma_BDS,Dia_chi,Tong_gia (trieu),Tien_m2 (trieu/m2),Loại hình,Địa chỉ chi tiết,Hướng ban công,Số phòng ngủ,Số phòng tắm,Diện tích tim tường,Diện tích sử dụng,Nội thất,Tên dự án / tòa nhà,Tình trạng sử dụng
8SFHB3,"Căn hộ 5.05 Chung cư Phan Văn Trị, P.2, Q.5, TP.HCM",3300000.0,59.56,Căn hộ chung cư,5.05,,2.0,2.0,55.40m²,,,Chung cư Phan Văn Trị,
2MM64Z,"Căn 13.07 - Tầng 14 - Block B Chung cư IC2 Cantavil, đường số 25, P.An Phú, TP.Thủ Đức, TP.HCM",9000000.0,97.08,Căn hộ chung cư,Căn 13.07 - Tầng 14 - Block B,,3.0,2.0,92.70m²,,,Chung cư 1C2 Cantavil,
7KD1ZA,"Căn 410 Tầng 5 Lô B Chung cư Cư Xá Gò Dầu 1, P.Phú Thọ Hòa, Q.Tân Phú, TP.HCM",2650000.0,50.0,Căn hộ chung cư,Căn 410 Tầng 5 Lô B,,2.0,1.0,56.10m²,,,Chung cư Cư Xá Gò Dầu 1,
8U0VX3,"Căn 0.17 Lô A Chung cư Vườn Lài, P.Phú Thọ Hòa, Q.Tân Phú, TP.HCM",4200000.0,100.0,Căn hộ chung cư,0.17 - Lô A,,1.0,1.0,42m²,,,Chung cư Vườn Lài,
Q7F26U,"Căn hộ 2C-10-2 Chung cư cao tầng Phú Mỹ, P.Phú Mỹ, Q.7, TP.HCM",5700000.0,61.29,Căn hộ chung cư,2C-10-2,,2.0,2.0,93m²,,,Chung cư cao tầng Phú Mỹ,
Q7Q7FU,"Căn hộ A19.02 Lô A Chung cư số 4 Đường Phan Chu Trinh (nối dài), P.12, Q.Bình Thạnh, TP.HCM",3590000.0,64.1,Căn hộ chung cư,A19.02 Lô A,,2.0,1.0,56m²,,,Chung cư số 4 Đường Phan Chu Trinh (nối dài),
YKWXHD,"Căn 209 - Tầng 3 - Lô A - Chung Cư 207 Bùi Viện, P.Phạm Ngũ Lão, Q.1, TP.HCM",3600000.0,90.49,Căn hộ chung cư,Lô A - Tầng 3 - Căn 209,,1.0,1.0,39.78m²,,Cơ bản,Chung cư 207 Bùi Viện,Nhà trống
EREAG4,"Căn hộ 14.05, Tầng 15, Khối A Khu căn hộ chung cư cao tầng, 633 Kinh Dương Vương, P.An Lạc, Q.Bình Tân, TP.HCM",2750000.0,49.01,Căn hộ chung cư,"Căn hộ 14.05, Tầng 15, Khối A",,2.0,1.0,56.10m²,52m²,,"Khu căn hộ chung cư cao tầng, 633 Kinh Dương Vương",
8URGG3,"Căn hộ 14.5 chung cư 326/1 Ung Văn Khiêm, P.25, Q.Bình Thạnh, TP.HCM",5200000.0,69.51,Căn hộ chung cư,14.5 - tầng 15,,2.0,1.0,74.80m²,,,chung cư Thế Kỷ 21,Đang ở
7H7K3A,"Căn hộ 1.04 - Tầng 1 và 2 - Khối Tháp C Khu nhà ở cao tầng Công ty Saphire, 454 Võ Chí Công, P.Phú Hữu, TP.Thủ Đức, TP.HCM",12000000.0,66.92,Căn hộ chung cư,Căn hộ 1.04 - Tầng 1 và 2 - Khối Tháp C,,4.0,1.0,179.30m²,166.30m²,,Khu nhà ở cao tầng Công ty Saphire,
YC1HCD,"Căn hộ 3.20, Tầng 3, Tòa nhà S10.07 - 88 Phước Thiện, Long Bình, Q.9, TP.HCM",3320000.0,0.06,Căn hộ chung cư,"Căn hộ 3.20, Tầng 3, Tòa nhà S10.07 - Khu A",,2.0,2.0,54.60m²,,,Dự án Khu dân cư và công viên Phước Thiện,
PT8RPG,"Căn hộ A22.03 Tầng 22, chung cư lô D, 90 Nguyễn Hữu Cảnh, P.22, Q.Bình Thạnh, TP.HCM",3800000.0,94.29,Căn hộ chung cư,A22.03,,1.0,1.0,40.30m²,,,Riverside 90 Nguyễn Hữu Cảnh,
W0FE1R,"Chung cư Hưng Vượng 1, đường Nguyễn Văn Linh, căn hộ E-407, P.Tân Phong, Q.7, TP.HCM",4350000.0,63.59,Căn hộ chung cư,E407,,2.0,1.0,68.40m²,68.40m²,Đầy đủ,Chung cư Hưng Vượng 1,Đang cho thuê
5DZ1E7,"Căn hộ 203B, Tầng 3, Nhà N01, chung cư K26, số 33 Đường Dương Quảng Hàm, P.7, Q.Gò Vấp, TP.HCM",2900000.0,37.66,Căn hộ chung cư,203B Tầng 3 Nhà N01,,2.0,2.0,77m²,70.43m²,,Chung cư K26,Đang ở
3ABUZQ,"111 Tỉnh lộ 10 (ĐT825), TT.Đức Hòa, H.Đức Hòa, Long An",160.0,2.25,Căn hộ chung cư,C5-13,,2.0,2.0,71m²,67m²,,Vinhomes Green City,
5ED4W7,"lô số 4/10A Lê Hồng Phong, P.Đằng Hải, Q.Hải An, TP. Hải Phòng",5490000.0,61.55,Căn hộ chung cư,CH -3522,Tây Bắc,2.0,2.0,89.20m²,83.70m²,Đầy đủ,Golden Crown,Nhà trống
74BK5A,"Đại Lộ Bình Dương, P.Lái Thiêu, TP.Thuận An, Bình Dương",3100000.0,48.43,Căn hộ chung cư,,Đông Bắc,2.0,1.0,64m²,59m²,Đầy đủ,The Emerald Golf view,Đang cho thuê
9NT3FP,"14 Nguyễn Văn Tiết, P.Lái Thiêu, TP.Thuận An, Bình Dương",2520000.0,47.69,Căn hộ chung cư,MA-MB,,1.0,1.0,52.90m²,,,HAPPY ONE MORI,
DWKGVH,"BN2, P.Đông Hưng Thuận, Q.12, TP.HCM",1.98,0.0,Căn hộ chung cư,005,,1.0,1.0,54m²,,,Khu dân cư An Sương,
A4VZ4Y,"Chu Văn An, Hòa Phú, TP.Thủ Dầu Một, TP.HCM",1980000.0,55.0,Căn hộ chung cư,,,,,,,,,
KWSRNC,"Đào trí, P.Phú Thuận, Q.7, TP.HCM",7000000.0,90.21,Căn hộ chung cư,CH02,,2.0,2.0,77.59m²,,,Vlasta Premier Phú Thuận,
9VT2DP,"47-57 Nguyễn Thái Bình, P.Bến Thành, Q.1, TP.HCM",2049999.9999999998,83.09,Căn hộ chung cư,725 - Tầng 8,,1.0,1.0,24.67m²,24.67m²,Cơ bản,chung cư 47-57 nguyễn thái bình,Đang ở
7EGX5A,"Cao Ốc Fico 927 Trần Hưng Đạo, P.1, Q.5, TP.HCM",14000000.0,163.55,Căn hộ chung cư,14.04,,2.0,2.0,85.60m²,85m²,Đầy đủ,Cao ốc fico,Đang cho thuê
5K4NP7,"B võ chí công, Bình Trưng Đông, Q.2, TP.HCM",5000000.0,70.42,Căn hộ chung cư,01,,2.0,2.0,71m²,66m²,,Gladia By The Waters,
2MCUUZ,"Chung Cư Thiên Nam 7A/162 Thành Thái, P.14, Q.10, TP.HCM",9500000.0,75.27,Căn hộ chung cư,Số 6.5 tầng 7,,3.0,3.0,126.20m²,,,Chung cư Thiên Nam,Đang ở
7KCRUA,"Căn Thương mại số 1.08, Tầng 1+2, Tháp M2, Chung cư Jamona City Đào Trí, P.Phú Thuận, Q.7, TP.HCM",6800000.0,37.52,Căn hộ chung cư,"Căn Thương mại số 1.08, Tầng 1+2, Tháp M2",,2.0,2.0,181.20m²,181.20m²,,Chung cư Jamona City,
SDHH15,"Số 5G, Tầng 7, Chung cư 35-37 Bến Chương Dương, P.Nguyễn Thái Bình, Q.1, TP.HCM",7000000.0,98.28,Căn hộ chung cư,"Số 5G, tầng 7",,1.0,1.0,71.22m²,71.22m²,,Chung cư 35-37 đường Bến Chương Dương,
G1WKQ2,"26 Nguyễn thượng hiền, P.1, Q.Gò Vấp, TP.HCM",2000000.0,40.0,Căn hộ chung cư,6-09,Đông Nam,2.0,2.0,50m²,46m²,Đầy đủ,Chung cư 26 Nguyễn Thượng Hiền,Nhà trống
928QAP,"Nguyễn Xiển, P.Long Thạnh Mỹ, Q.9, TP.HCM",3230000.0,69.91,Căn hộ chung cư,,,1.0,1.0,46.20m²,,,,
DY6UHF,"Trần Hưng Đạo, P.Phạm Ngũ Lão, Q.1, TP.HCM",15800000.0,132.18,Căn hộ chung cư,150 trệt,,2.0,1.0,119.53m²,,,,
QKE7DU,"Tân Sơn Nhì, P.Tân Sơn Nhì, Q.Tân Phú, TP.HCM",2300000.0,41.07,Căn hộ chung cư,,Tây Bắc,2.0,1.0,56m²,59m²,Đầy đủ,Khu nhà ở kết hợp dịch vụ Gò Dầu,Nhà trống
UCE6GS,"110A Phạm Văn Đồng, P.3, Q.Gò Vấp, TP.HCM",5200000.0,74.28,Căn hộ chung cư,A1205,Nam,2.0,2.0,70m²,,Đầy đủ,Sunny Plaza,Đang ở
AFEF9Y,"68/19 Nguyễn Bá Tòng, P.11, Q.Tân Bình, TP.HCM",1700000.0,50.0,Căn hộ chung cư,lầu 1,Bắc,2.0,1.0,34m²,34m²,Đầy đủ,Bảy Hiền Tower,Nhà trống
WZK56R,"Nguyễn bỉnh khiêm, P.1, Q.Gò Vấp, TP.HCM",2800000.0,56.0,Căn hộ chung cư,,,2.0,1.0,50m²,46m²,Đầy đủ,Masteri M-One Gò Vấp,Đang cho thuê
DFZJKH,"Nguyễn Văn Linh, Xã Bình Hưng, H.Bình Chánh, TP.HCM",5300000.0,68.69,Căn hộ chung cư,TC1-006-07,,2.0,2.0,77.15m²,,Cơ bản,Trellia Cove,Nhà trống
9X326P,"Căn hộ S20 Khối 1, 377 đường Tân Hương, P.Tân Quý, Q.Tân Phú, TP.HCM",780.0,34.66,Căn hộ chung cư,,,1.0,1.0,22.50m²,,,Chung cư Khang Gia,
