ma_bds,address,total_price,price_per_m2,loại hình,chiều ngang,chiều dài,hướng cửa chính,số phòng ngủ,số phòng tắm,số tầng,diện tích đất công nhận,diện tích sử dụng,đường trước nhà,property_type,area_calculated,latitude,longitude,center_distance_km,địa chỉ chi tiết,diện tích tim tường,nội thất,tên dự án / tòa nhà,tình trạng sử dụng
CW99KB,"Thửa 525 - tờ 144, 24/11/2A Bình Trị Đông, P.Bình Trị Đông, Q.Bình Tân, TP.HCM",5100000.0,73.17,Đất,5m,13.93m,Tây Nam,,,,,,,land,69700.69700697006,10.766261728843816,106.60494219171608,10.398349580903846,,,,,
SDC3R5,"Thửa 1115 - tờ 60, đường Thạnh Xuân 52, P.Thạnh Xuân, Q.12, TP.HCM",3180000.0,49.3,Đất,4m,16.13m,Tây,,,,,,,land,64503.04259634889,10.790546291558703,106.71366531716441,1.994880343241141,,,,,
7KE69A,"Thửa 590 - tờ 7 Trần Thị Xong, Xã Nhuận Đức, H.Củ Chi, TP.HCM",4800000.0,4.2,Đất,10.01m,114.19m,Đông Bắc,,,,,,,land,1142857.1428571427,10.996264833402705,106.5160670920234,31.20111273791718,,,,,
YBFMED,"Thửa 569 - tờ 39 Phạm Thị Lòng, Xã Trung An, H.Củ Chi, TP.HCM",4800000.0,19.86,Đất,6m,40.37m,Nam,,,,,,,land,241691.84290030212,10.995307710904978,106.49403565021188,32.7202366375255,,,,,
7KENHA,"Thửa 597 - tờ 29 Trần Văn Chẩm, Xã Phước Vĩnh An, H.Củ Chi, TP.HCM",3150000.0,21.37,Đất,6.53m,22.01m,Đông Nam,,,,,,,land,147402.90126345344,10.997042096692219,106.49127119308817,33.06710436937022,,,,,
QAHG5U,"Thửa 606 - tờ 31 Nguyễn Thị Nê, Xã Phú Hòa Đông, H.Củ Chi, TP.HCM",2200000.0,8.77,Đất,9.2m,27m,Nam,,,,,,,land,250855.18814139112,10.993667995674775,106.51234212319298,31.245749061522762,,,,,
EJP3H4,"Thửa 620 - tờ 9 Tỉnh Lộ 15, Xã Phú Hòa Đông, H.Củ Chi, TP.HCM",1250000.0,13.54,Đất,6.2m,15.02m,Tây Bắc,,,,,,,land,92319.05465288035,10.99350716439292,106.49755783719276,32.31173561622233,,,,,
QAHYGU,"Thửa 51 - tờ 43 Nguyễn Kim Cương, Xã Tân Thạnh Đông, H.Củ Chi, TP.HCM",6100000.0,12.2,Đất,10m,50.45m,Đông Bắc,,,,,,,land,500000.00000000006,11.001995214371124,106.51676335503426,31.642072230234337,,,,,
9TMN5P,"Thửa 744 - tờ 46 Tỉnh Lộ 15, Xã Tân Thạnh Đông, H.Củ Chi, TP.HCM",1800000.0,24.59,Đất,4m,18.91m,Bắc,,,,,,,land,73200.48800325335,11.020941772347395,106.50228677632363,34.26645009354004,,,,,
KFJFDC,"Thửa 667 - tờ 126 Nguyễn Thị Thôn, Xã Phú Hòa Đông, H.Củ Chi, TP.HCM",1600000.0,13.92,Đất,5.36m,21.59m,Tây Nam,,,,,,,land,114942.52873563218,11.012016410213583,106.51175255460227,32.84905207929315,,,,,
KFJB7C,"Thửa 1820 - tờ 53, đường Thạnh Xuân 52, P.Thới An, Q.12, TP.HCM",2850000.0,56.54,Đất,4m,12.6m,Đông Nam,,,,,,,land,50406.79165192784,10.77846641178135,106.707338773969,0.9205615524114799,,,,,
7KBS9A,"Thửa 192 - tờ 23 Huỳnh Minh Mương, Xã Tân Thạnh Đông, H.Củ Chi, TP.HCM",2600000.0,10.24,Đất,10.3m,26.22m,Tây Nam,,,,,,,land,253906.25,10.999034702484764,106.50384631286619,32.30337968450237,,,,,
9TXFXP,"Thửa 708 - tờ 156 Nguyễn Thị Lắng, Xã Phước Vĩnh An, H.Củ Chi, TP.HCM",1900000.0,16.88,Đất,5m,22.62m,Tây Nam,,,,,,,land,112559.24170616115,10.991636123825332,106.48941826376547,32.776564847360554,,,,,
SDK1F5,"Thửa 17 -  tờ 10 Nguyễn Văn Nì, TT.Củ Chi, H.Củ Chi, TP.HCM",12500000.0,25.0,Đất,14m,35.71m,Tây Bắc,,,,,,,land,500000.0,11.019901273022075,106.48893882625592,35.113622083285755,,,,,
SDKE35,"559 ( Thửa 58 - tờ 78 ) Nguyễn Văn Khạ, Xã Tân An Hội, H.Củ Chi, TP.HCM",6200000.0,13.41,Đất,9.41m,34.56m,Đông Nam,,,,,,,land,462341.53616703954,10.993686405710763,106.49157106623252,32.775724947132055,,,,,
7KBESA,"Thửa 888 - tờ 2 Đông Thạnh 7, Xã Thới Tam Thôn, H.Hóc Môn, TP.HCM",10900000.0,11.32,Đất,24.43m,41.26m,Tây Nam,,,,,,,land,962897.5265017668,10.896070593835864,106.60415114956274,16.52514700824247,,,,,
QADDBU,"Thửa 1877 - tờ 75, đường Thạnh Xuân 33, P.Thới An, Q.12, TP.HCM",4650000.0,63.43,Đất,4.04m,18.32m,Đông,,,,,,,land,73309.15970361028,10.788999619673003,106.69668503050912,1.0509743681167159,,,,,
RG286J,"Thửa 692 - tờ 132 Nguyễn Thị Rành, Xã Trung Lập Hạ, H.Củ Chi, TP.HCM",1250000.0,7.74,Đất,5.11m,33.01m,Đông Nam,,,,,,,land,161498.70801033592,11.011404124244041,106.48913805899171,34.39384203831331,,,,,
QAYF8U,"Thửa 682 - tờ 7 Nguyễn Thị Lắng, Xã Tân Phú Trung, H.Củ Chi, TP.HCM",2900000.0,18.49,Đất,5m,31.51m,Tây Bắc,,,,,,,land,156841.53596538672,10.801413311713434,106.62386617263553,8.561062823173437,,,,,
KFW2JC,"Thửa 706 - tờ 17 Tỉnh Lộ 8, Xã Phước Thạnh, H.Củ Chi, TP.HCM",1100000.0,10.81,Đất,5m,22.58m,Tây Nam,,,,,,,land,101757.63182238667,11.00971200925955,106.51075562889783,32.7186101263798,,,,,
ACC7DY,"Thửa 1038 - tờ 9 Nguyễn Thị Bi, TT.Củ Chi, H.Củ Chi, TP.HCM",2150000.0,5.93,Đất,10.33m,36.24m,Đông Nam,,,,,,,land,362563.23777403036,11.013768286376477,106.50961137861431,33.1465114186015,,,,,
1UUM16,"Thửa 892 - tờ 8 Lê Thị Bay, Xã Tân Thạnh Đông, H.Củ Chi, TP.HCM",2250000.0,12.83,Đất,5.75m,29.95m,Tây Nam,,,,,,,land,175370.22603273578,11.005441050738218,106.48960447994875,33.871017814024015,,,,,
DEEAYH,"Thửa 784 - tờ 62 ( tờ cũ 31) Nguyễn Kim Cương, Xã Tân Thạnh Đông, H.Củ Chi, TP.HCM",1800000.0,14.61,Đất,5.25m,23.59m,Đông Nam,,,,,,,land,123203.28542094456,11.009575923255456,106.4971013733816,33.66633310073841,,,,,
RGGXXJ,"Thửa  334 - tờ 13 Đặng Thúc Vịnh, Xã Thới Tam Thôn, H.Hóc Môn, TP.HCM",2880000.0,29.93,Đất,4.11m,21.28m,Tây Nam,,,,,,,land,96224.52388907451,10.873836663908039,106.58280985003287,16.42369147096009,,,,,
855DT3,"Thửa 633 - tờ 33 Tỉnh Lộ 8, Xã Hòa Phú, H.Củ Chi, TP.HCM",2100000.0,10.51,Đất,6m,33.6m,Đông Bắc,,,,,,,land,199809.70504281638,11.001473615683398,106.50435027184157,32.47020916774262,,,,,
KFFWBC,"Thửa 609 - tờ 33 đường số 492, Xã Phạm Văn Cội, H.Củ Chi, TP.HCM",2170000.0,8.96,Đất,10.07m,23.87m,Đông Nam,,,,,,,land,242187.49999999997,10.999710162454171,106.51615202226405,31.488573755680683,,,,,
7KKHQA,"Thửa 627 - tờ 42 Tỉnh Lộ 2, Xã Trung Lập Hạ, H.Củ Chi, TP.HCM",3500000.0,21.23,Đất,5m,33.13m,Tây Nam,,,,,,,land,164861.04569006123,11.007108085797373,106.50938384376195,32.59047841354892,,,,,
QAASPU,"Thửa 704 - tờ 79 Tỉnh Lộ 7, Xã An Nhơn Tây, H.Củ Chi, TP.HCM",1050000.0,8.48,Đất,6.23m,22.98m,Tây,,,,,,,land,123820.75471698113,10.998067334186024,106.51317249636294,31.557183787848118,,,,,
6SUVM8,"Thửa 801 - tờ 32 đường số 5, Xã Tân Thông Hội, H.Củ Chi, TP.HCM",2500000.0,23.74,Đất,5m,22.24m,Tây Bắc,,,,,,,land,105307.49789385004,10.999120304142695,106.51480602737931,31.53199569795794,,,,,
