address,total_price,price_per_m2,area_calculated,latitude,longitude,center_distance_km
"Thửa 1111 - tờ 58 Thạnh Lộc 14, P.An Phú Đông, Q.12, TP.HCM",4000000.0,80.0,50000.0,10.767846217728728,106.70279501472577,1.383361482045093
"Thửa 1110 - tờ 58 Thạnh Lộc 14, P.An Phú Đông, Q.12, TP.HCM",4000000.0,80.0,50000.0,10.771939425443495,106.6958028646127,0.9367690934829339
"Thửa 172 - tờ 20 Trung An, TT.Củ Chi, H.Củ Chi, TP.HCM",7500000.0,8.31,902527.0758122744,11.011172738046172,106.49379681988819,34.03690824570828
"MPN 50/50 Vườn Lài, P.An Phú Đông, Q.12, TP.HCM",12200000.0,54.24,224926.25368731562,10.786075526404737,106.70425846967737,0.9007705260139578
"Tam Đa, P.Trường Thạnh, TP.Thủ Đức, TP.HCM",5000000.0,62.5,80000.0,10.849271351799137,106.74873596000029,9.414068124863354
"Thửa 643-1 - Tờ 4 đường số 1, P.11, Q.6, TP.HCM",15000000.0,89.82,167000.66800267203,10.756687079828215,106.71641195227832,3.1847583355978153
"Thửa 825 - tờ 8 Sông Lu, Xã Hòa Phú, H.Củ Chi, TP.HCM",4000000.0,28.14,142146.41080312722,11.013710204615576,106.5034506494369,33.56645822633408
"Thửa 1521 - tờ 50 Vườn Lài, P.An Phú Đông, Q.12, TP.HCM",9500000.0,107.95,88003.70541917555,10.778096191440222,106.69889544056177,0.18736612694431715
"Nguyễn Văn Khạ, Xã Tân An Hội, H.Củ Chi, TP.HCM",5000000.0,11.62,430292.5989672978,11.021154702026008,106.50880713647321,33.84214253397106
"Thửa 702 - tờ 14 Trung An, Xã Trung An, H.Củ Chi, TP.HCM",2800000.0,16.77,166964.81812760883,10.991695242894462,106.5111951038359,31.16338668477947
"Thửa 602 - Tờ 7 đường số 5, Long Thạnh Mỹ, Q.9, TP.HCM",54000000.0,33.61,1606664.6831300207,10.777368294916439,106.66522707431203,3.706402786139709
"Thửa 935 - tờ 11 Thạnh Lộc 29, P.Thạnh Lộc, Q.12, TP.HCM",5950000.0,86.73,68603.71267150927,10.785235559399013,106.69049081639736,1.1114228686965004
"Thửa 537 - tờ 17 Bà Thiên, Xã Nhuận Đức, H.Củ Chi, TP.HCM",1600000.0,12.18,131362.88998357963,11.019788310864726,106.51334965325567,33.41910714624964
"Thửa 1101 - tờ 85 Thạnh Xuân 24, P.Thới An, Q.12, TP.HCM",3650000.0,55.05,66303.36058128974,10.765427920263228,106.69058462659653,1.8370549741584077
"Thửa 615 - Tờ 7 đường số 6, Trường Thạnh, Q.9, TP.HCM",5050000.0,54.83,92102.86339595112,10.77655636575626,106.66879879017952,3.3253548098713237
"Thửa 756 Tờ 9 Thới An 11, P.Thới An, Q.12, TP.HCM",4500000.0,54.74,82206.79576178297,10.76518566313214,106.68805571597035,2.011948289290576
"Phan Văn Hớn, P.Tân Thới Nhất, Q.12, TP.HCM",37000000.0,150.46,245912.5348929948,10.761666385997195,106.69740004759474,2.012048984151046
"Thửa 1109 - tờ 90 Thạnh Xuân 16, P.Thới An, Q.12, TP.HCM",6000000.0,65.5,91603.0534351145,10.784145150927424,106.7123342584011,1.533103043976463
"Thửa 1108 - tờ 90 Thạnh Xuân 16, P.Thới An, Q.12, TP.HCM",6000000.0,64.3,93312.59720062208,10.780104189351531,106.71351304277061,1.5845909115918033
"Thửa 1104 - tờ 90 Thạnh Xuân 16, P.Thới An, Q.12, TP.HCM",6000000.0,56.81,105615.20859003696,10.773971461714964,106.69992492182054,0.6504925506556523
"Thửa 1103 - tờ 90 Thạnh Xuân 16, P.Thới An, Q.12, TP.HCM",6000000.0,61.16,98103.33551340747,10.769329576907062,106.69853376585984,1.1577692140563798
"Thửa 2484 - Tờ 18 Thạnh Xuân 38, P.Thạnh Xuân, Q.12, TP.HCM",4099999.999999999,51.57,79503.58735699048,10.78783078824857,106.69827102274373,0.8938123494756688
"19 TA 11, P.Thới An, Q.12, TP.HCM",5000000.0,39.09,127909.95139421846,10.77506345978859,106.69745677371003,0.5498090382626345
